City,Cloudiness,Country,Date,Humidity,Lat,Long,MaxTemp,WindSpeed
Albany,90,US,1547981640,79,42.65,-73.75,24.08,3.36
Barrow,0,AR,1547982774,60,-38.31,-60.23,69.86,15.43
Oranjemund,0,ZA,1547982775,87,-28.55,16.43,64.82,22.03
Cape Town,0,ZA,1547979900,32,-33.93,18.42,80.6,3.36
Ballina,40,IE,1547982000,86,54.11,-9.15,44.6,11.41
Atuona,92,PF,1547982779,100,-9.8,-139.03,80.66,15.88
Sorong,48,ID,1547982780,97,-0.86,131.25,84.39,6.15
Mar del Plata,0,AR,1547982531,35,-46.43,-67.52,71.61,19.69
Klaksvik,48,FO,1547981400,97,62.23,-6.59,37.4,16.11
Laguna,0,MX,1547982784,81,27.52,-110.01,50.87,1.9
Tasiilaq,0,GL,1547981400,78,65.61,-37.64,17.6,2.24
Hermanus,0,ZA,1547982787,30,-34.42,19.24,82.77,2.91
San Policarpo,92,PH,1547982788,100,12.18,125.51,75.71,19.69
Rikitea,92,PF,1547982789,100,-23.12,-134.97,79.35,12.97
Hithadhoo,92,MV,1547982791,100,-0.6,73.08,80.88,7.16
Cidreira,92,BR,1547982792,100,-30.17,-50.22,70.17,9.4
Sitangkai,0,PH,1547982793,99,4.66,119.39,82.19,17.22
Jamestown,0,AU,1547982795,56,-33.21,138.6,65.76,4.59
Fortuna,20,ES,1547980200,76,38.18,-1.13,55.4,4.7
Karratha,12,AU,1547982798,39,-20.74,116.85,92.36,9.51
Longyearbyen,20,NO,1547977800,64,78.22,15.63,-2.21,5.82
Riachao,76,BR,1547982800,90,-7.36,-46.62,76.34,8.05
Provideniya,76,RU,1547982802,100,64.42,-173.23,12.26,8.72
Nikolskoye,90,RU,1547980200,85,59.7,30.79,24.8,20.13
Punta Arenas,20,CL,1547978400,70,-53.16,-70.91,44.6,4.7
Cheyenne,1,US,1547981880,52,41.14,-104.82,39.92,14.99
Spisska Bela,75,SK,1547982000,68,49.19,20.46,24.8,2.24
Faya,40,SA,1547982000,48,18.39,42.45,71.6,11.41
Prince Rupert,90,CA,1547979300,93,54.32,-130.32,42.8,9.17
Vaini,0,IN,1547978400,23,15.34,74.49,86.0,6.93
Saint George,20,GR,1547981400,71,39.45,22.34,57.2,1.9
Ponta do Sol,20,BR,1547982814,96,-20.63,-46.0,75.17,4.14
Tiksi,64,RU,1547982816,0,71.64,128.87,-35.22,2.68
Batemans Bay,92,AU,1547982817,94,-35.71,150.18,68.91,4.47
Yar-Sale,0,RU,1547982818,66,66.83,70.83,-4.35,8.61
Mount Gambier,0,AU,1547978400,82,-37.83,140.78,62.6,14.99
Puerto del Rosario,75,ES,1547980200,59,28.5,-13.86,68.0,14.99
Leningradskiy,12,RU,1547982822,76,69.38,178.42,-6.96,12.19
La Asuncion,92,EC,1547982823,93,-1.64,-78.74,47.58,3.36
Kapaa,1,US,1547981760,81,22.08,-159.32,73.04,10.29
Puerto Ayora,92,EC,1547982826,100,-0.74,-90.35,76.34,9.28
Tuktoyaktuk,80,CA,1547982827,100,69.44,-133.03,-1.56,4.7
Onega,56,RU,1547982829,91,63.91,38.09,5.51,3.91
Tatarsk,68,RU,1547982830,85,55.22,75.96,15.63,8.95
Togur,88,RU,1547982832,82,58.36,82.83,17.79,5.7
Ihosy,20,MG,1547982833,80,-22.4,46.13,82.37,2.57
Port Alfred,0,ZA,1547982834,76,-33.59,26.89,71.97,13.76
Kodiak,1,US,1547981700,46,39.95,-94.76,8.6,3.36
Port Keats,24,AU,1547982837,94,-14.25,129.55,82.14,2.68
Kichmengskiy Gorodok,88,RU,1547982838,78,59.99,45.81,15.63,7.72
Koumac,0,NC,1547982839,82,-20.56,164.28,78.09,9.62
Hilo,20,US,1547977980,81,19.71,-155.08,68.0,6.93
Digby,92,CA,1547982842,100,44.62,-65.76,22.16,18.23
Bosaso,40,SO,1547978400,74,11.28,49.18,78.8,13.87
Cherskiy,20,RU,1547982844,0,68.75,161.3,-32.61,2.35
Alta Floresta,40,BR,1547978400,100,-9.87,-56.08,71.6,2.24
Vila Velha,40,BR,1547978400,94,-3.71,-38.6,78.8,3.36
Carbonia,0,IT,1547981400,66,39.17,8.53,53.6,4.7
Thompson,5,CA,1547978400,65,55.74,-97.86,-36.41,5.37
Breves,36,BR,1547982606,100,-1.68,-50.48,77.96,4.36
Kruisfontein,32,ZA,1547982853,66,-34.0,24.73,70.89,14.65
Vila do Maio,40,CV,1547978400,64,15.13,-23.22,69.8,19.46
Aklavik,20,CA,1547978400,75,68.22,-135.01,-16.61,3.36
Sunrise Manor,1,US,1547981700,70,36.21,-115.07,46.04,2.35
Touros,64,BR,1547982858,82,-5.2,-35.46,83.4,11.74
Arlit,0,NE,1547982859,42,18.74,7.39,73.41,5.93
Jamkhed,0,IN,1547982861,33,18.74,75.31,81.74,2.57
Udachnyy,68,RU,1547982862,69,66.42,112.4,-11.01,2.57
Waingapu,32,ID,1547982864,96,-9.65,120.26,76.34,2.91
Jizan,20,SA,1547982000,62,16.89,42.56,87.8,13.87
Cache Creek,40,CA,1547982000,80,50.81,-121.33,39.2,1.9
Talnakh,64,RU,1547982868,73,69.49,88.39,-3.05,8.05
Mumford,36,GH,1547982869,82,5.26,-0.76,86.96,6.71
Carnarvon,0,ZA,1547982870,7,-30.97,22.13,84.26,7.38
Lebu,0,ET,1547982872,24,8.96,38.73,75.44,7.94
Nizhniy Baskunchak,0,RU,1547982873,91,48.22,46.83,25.71,7.16
Mareeba,75,AU,1547980200,83,-16.99,145.42,77.0,9.17
Clyde River,90,CA,1547978400,75,70.47,-68.59,-18.41,6.04
Alekseyevsk,92,RU,1547982877,76,57.84,108.35,18.47,5.7
Airai,56,TL,1547982879,93,-8.93,125.41,72.02,0.78
Illintsi,90,UA,1547980200,85,49.11,29.2,24.8,13.42
Qaanaaq,0,GL,1547982882,60,77.48,-69.36,-21.45,8.16
Matara,40,PE,1547978400,48,-13.74,-72.9,44.6,2.35
Itoman,75,JP,1547982000,63,26.12,127.67,66.2,20.8
Berdigestyakh,76,RU,1547982886,38,62.1,126.7,-25.82,6.6
Upernavik,36,GL,1547982887,100,72.79,-56.15,-7.19,9.73
Padang,92,ID,1547982889,100,-0.92,100.36,76.29,16.44
Batticaloa,88,LK,1547982890,93,7.71,81.69,79.31,11.41
Vanavara,92,RU,1547982891,79,60.35,102.28,11.67,5.37
Dalbandin,48,PK,1547982893,68,28.9,64.41,55.64,3.69
Praya,40,ID,1547980200,88,-8.71,116.27,82.4,5.82
Ongandjera,8,NA,1547982895,36,-17.88,15.07,91.19,4.47
Ancud,90,CL,1547978400,100,-41.87,-73.83,51.8,6.93
Hirara,75,JP,1547978400,77,24.8,125.28,68.0,13.87
Albacete,75,ES,1547978400,93,39.0,-1.86,44.6,16.11
Panaba,64,MX,1547982900,91,21.28,-88.27,68.19,9.17
Maragogi,92,BR,1547982902,85,-9.01,-35.22,81.33,7.27
Hidrolandia,88,BR,1547982903,100,-4.41,-40.44,76.07,3.24
Aykhal,76,RU,1547982905,67,65.95,111.51,-10.65,4.81
Sitka,0,US,1547982915,79,37.17,-99.65,14.51,4.36
Bethel,75,US,1547982240,91,60.79,-161.76,6.8,11.41
Palana,48,RU,1547982918,74,59.08,159.95,30.26,11.86
Saskylakh,80,RU,1547982920,56,71.97,114.09,-19.83,8.84
Teya,75,MX,1547977860,64,21.05,-89.07,71.6,6.93
New Norfolk,0,AU,1547980200,68,-42.78,147.06,68.0,8.05
Mount Isa,40,AU,1547980200,27,-20.73,139.49,98.6,16.11
Tahoua,0,NE,1547978400,7,14.89,5.26,77.0,16.11
Nushki,56,PK,1547982926,100,29.55,66.02,46.46,3.8
Chibombo,68,ZM,1547982928,100,-14.68,28.09,73.23,5.48
Codrington,48,AU,1547978400,69,-28.95,153.24,78.8,8.05
Kamenka,44,RU,1547982930,84,53.19,44.05,15.72,8.61
Hovd,75,NO,1547981400,86,63.83,10.7,32.0,3.36
Coquimbo,90,CL,1547982000,93,-29.95,-71.34,59.0,2.24
Luderitz,0,NA,1547982934,73,-26.65,15.16,66.89,4.59
Blagoyevo,80,RU,1547982935,69,63.37,47.92,9.29,3.36
Vidim,90,CZ,1547980200,85,50.47,14.53,26.6,4.7
Barra Patuca,24,HN,1547982938,88,15.8,-84.28,78.59,4.92
Sokolo,0,ML,1547982939,24,14.74,-6.12,74.94,16.44
Geraldton,5,CA,1547978400,65,49.72,-86.95,-36.41,3.36
Tautira,20,PF,1547982000,74,-17.73,-149.15,80.6,11.41
Yellowknife,90,CA,1547978400,76,62.45,-114.38,-4.01,8.05
Alofi,92,NU,1547982000,94,-19.06,-169.92,78.8,2.24
Pisco,90,PE,1547978400,94,-13.71,-76.2,69.8,4.7
Planeta Rica,8,CO,1547982948,93,8.41,-75.58,75.62,9.06
Bluff,0,AU,1547982949,41,-23.58,149.07,79.94,12.64
Anadyr,90,RU,1547978400,76,64.73,177.51,-7.61,8.95
Puerto Ayacucho,75,CO,1547982000,69,5.66,-67.63,80.6,2.35
Saint-Ambroise,90,FR,1547980200,93,47.25,-0.65,42.8,5.82
Mayo,90,CA,1547978400,84,63.59,-135.9,-2.21,1.12
Emerald,0,AU,1547978400,42,-23.53,148.16,86.0,11.41
Antsohihy,92,MG,1547982957,100,-14.88,47.99,76.16,6.93
Ferrol,75,ES,1547980200,93,43.48,-8.23,50.0,9.17
Liku,12,ID,1547982963,94,-0.73,119.89,78.99,3.58
Chaumont,90,FR,1547980200,74,48.11,5.14,37.4,8.05
Bure,0,NG,1547982967,24,10.52,10.33,93.03,4.59
Saldanha,0,PT,1547982968,86,41.42,-6.55,46.23,6.93
Pevek,0,RU,1547982969,68,69.7,170.27,-22.89,6.49
Chokurdakh,24,RU,1547982971,0,70.62,147.9,-40.94,2.68
Nishihara,1,JP,1547982000,66,35.74,139.53,50.0,12.41
Los Alamos,40,US,1547981700,70,35.88,-106.3,26.96,2.24
Perelyub,48,RU,1547982974,85,51.87,50.37,18.24,10.96
Huarmey,0,PE,1547982976,88,-10.07,-78.15,60.77,2.91
Okahandja,0,NA,1547978400,11,-21.98,16.91,89.6,9.17
Valdivia,90,CL,1547982000,100,-39.81,-73.25,50.0,2.24
Tricase,5,IT,1547978100,82,39.93,18.36,55.4,2.24
Voyvozh,64,RU,1547982982,78,62.89,54.96,8.61,4.92
Santa Isabel,75,CO,1547982000,100,4.71,-75.1,68.0,5.82
Biak,8,ID,1547982985,94,-0.91,122.88,80.7,2.68
Muli,0,IN,1547982986,18,22.62,71.45,90.69,3.47
Yumen,0,CN,1547982988,62,40.29,97.04,0.69,3.58
Jiangyou,56,CN,1547982989,47,31.78,104.73,41.46,10.63
Poso,64,ID,1547982990,100,-1.4,120.75,78.86,3.91
Constitucion,0,MX,1547982992,67,23.99,-104.67,25.71,3.36
Ucluelet,88,CA,1547982993,100,48.94,-125.55,37.5,1.45
Shakiso,0,ET,1547982994,19,5.77,38.9,83.36,3.58
Shimoda,20,JP,1547982000,61,34.7,138.93,46.4,16.11
Chepareria,32,KE,1547982997,48,1.32,35.2,74.4,2.57
Mogadishu,0,SO,1547978400,62,2.04,45.34,84.2,20.8
Georgetown,75,GY,1547982000,100,6.8,-58.16,80.6,4.14
Henties Bay,0,NA,1547983002,83,-22.12,14.28,70.71,10.4
Tezu,8,IN,1547983003,64,27.93,96.16,54.6,1.57
Chuy,0,UY,1547983004,94,-33.69,-53.46,72.51,9.62
Aquiraz,40,BR,1547978400,94,-3.9,-38.39,78.8,3.36
Ostrovnoy,80,RU,1547983007,72,68.05,39.51,8.21,7.49
Acajutla,56,SV,1547982723,90,13.59,-89.83,67.79,2.68
Sorland,75,NO,1547981400,85,67.67,12.69,24.8,8.05
Luan,75,CH,1547981400,50,46.36,6.98,35.6,5.82
Bredasdorp,0,ZA,1547982000,39,-34.53,20.04,80.6,14.99
Verkhnyaya Inta,8,RU,1547983014,62,65.99,60.32,0.42,2.57
Victoria,75,BN,1547980200,83,5.28,115.24,82.4,9.17
Xiongzhou,36,CN,1547978400,52,32.34,118.83,41.0,4.47
Hualmay,20,PE,1547983018,87,-11.1,-77.61,64.82,1.57
Rio Gallegos,75,AR,1547982000,61,-51.62,-69.22,50.0,6.71
Aldan,76,RU,1547983021,79,58.61,125.39,-13.8,2.46
Chacabuco,44,AR,1547983022,79,-34.64,-60.47,68.69,10.4
Bubaque,8,GW,1547983024,90,11.28,-15.83,79.67,16.89
Marovoay,40,MG,1547982000,66,-16.11,46.64,89.6,4.7
Khasan,36,RU,1547983026,79,42.43,130.64,18.74,13.2
College,90,US,1547982180,82,64.86,-147.8,-0.05,2.68
Sola,75,FI,1547981400,76,62.78,29.36,-7.61,6.93
Kavieng,88,PG,1547983031,100,-2.57,150.8,75.62,7.72
Stryn,0,NO,1547979600,92,61.9,6.72,14.0,18.34
Banjar,64,ID,1547983033,95,-7.37,108.54,75.89,1.57
Mahebourg,20,MU,1547982000,66,-20.41,57.7,87.8,16.11
Boguchany,80,RU,1547983036,72,58.38,97.46,21.66,8.95
Ca Mau,8,VN,1547983037,77,9.18,105.15,81.56,12.64
Verkhoyansk,48,RU,1547983038,0,67.55,133.39,-52.41,2.91
Balclutha,64,NZ,1547983040,86,-46.24,169.74,51.99,23.04
Tumaco,88,CO,1547983041,100,1.8,-78.82,74.36,4.92
Ust-Omchug,80,RU,1547983042,34,61.13,149.63,-25.14,2.91
South Venice,90,US,1547981700,88,27.05,-82.42,66.2,18.34
Norman Wells,75,CA,1547978400,75,65.28,-126.83,-13.01,2.24
Gambiran,56,ID,1547983046,94,-7.93,111.77,73.01,2.35
Anloga,40,GH,1547978400,66,5.79,0.9,87.8,9.17
Kapit,92,MY,1547983039,94,2.02,112.94,75.39,1.34
La Ronge,20,CA,1547978400,67,55.1,-105.3,-27.41,4.7
Angouleme,20,FR,1547980200,93,45.65,0.15,44.6,4.36
Esperance,20,TT,1547982000,94,10.24,-61.45,69.8,5.93
Aberdeen,90,US,1547980620,82,45.47,-98.49,1.04,11.41
Khatanga,64,RU,1547983056,84,71.98,102.47,-13.94,10.63
Erenhot,0,CN,1547983057,41,43.65,111.97,16.98,19.01
Goiatuba,24,BR,1547983058,87,-18.02,-49.36,77.51,3.8
Haines Junction,44,CA,1547983059,74,60.75,-137.51,-9.3,2.35
Nouadhibou,0,MR,1547983061,57,20.93,-17.03,68.19,11.63
Grand Island,1,US,1547981820,88,40.92,-98.34,19.04,8.05
Ixtapa,8,MX,1547983063,81,20.71,-105.21,55.05,2.13
San Cristobal,75,EC,1547982000,93,-0.39,-78.55,55.4,2.24
Ardino,90,BG,1547980200,100,41.58,25.13,39.2,5.82
Hasaki,20,JP,1547982000,65,35.73,140.83,44.6,2.24
Tuatapere,68,NZ,1547983069,100,-46.13,167.69,52.67,22.03
Puerto Escondido,32,MX,1547983070,100,15.86,-97.07,80.07,3.02
Kysyl-Syr,68,RU,1547983072,37,63.9,122.77,-25.14,9.95
Merrill,75,US,1547977980,79,42.03,-121.6,42.98,10.29
Haicheng,0,CN,1547983074,45,40.85,122.74,19.05,11.07
Dingle,80,PH,1547983076,80,11.0,122.67,77.55,15.32
Aswan,0,EG,1547983077,53,24.09,32.9,70.26,4.59
Port Hedland,40,AU,1547981160,55,-20.31,118.58,91.4,12.75
Husavik,0,CA,1547983080,0,50.56,-96.99,-41.12,3.13
Pimentel,44,BR,1547983081,90,-3.7,-45.5,79.26,3.58
Mehamn,68,NO,1547983082,89,71.03,27.85,22.52,9.73
Balkanabat,64,TM,1547983084,89,39.51,54.36,39.48,2.57
San Quintin,0,PH,1547983085,70,17.54,120.52,73.59,0.56
Mali,32,CN,1547983086,28,27.53,102.2,48.57,2.68
Lahij,0,YE,1547983088,51,13.06,44.88,82.64,8.84
Necochea,0,AR,1547983090,85,-38.55,-58.74,66.66,13.98
Superior,1,US,1547982360,34,39.95,-105.17,48.2,19.46
Namibe,0,AO,1547978400,69,-15.19,12.15,82.4,13.87
Valparaiso,1,US,1547981700,47,41.47,-87.06,17.96,13.87
Souillac,68,FR,1547980200,100,45.6,-0.6,44.6,2.24
Lata,68,IN,1547983097,79,30.78,78.62,43.94,1.68
Novoagansk,32,RU,1547983098,81,61.94,76.66,11.99,2.57
Ahuimanu,40,US,1547981820,93,21.44,-157.84,73.94,4.7
Bathsheba,40,BB,1547982000,73,13.22,-59.52,77.0,12.75
Harbour Breton,68,CA,1547983102,100,47.48,-55.8,14.42,10.74
Vestmannaeyjar,40,IS,1547982000,69,63.44,-20.27,35.6,34.45
Naestved,8,DK,1547981400,100,55.23,11.76,32.0,6.93
Finschhafen,76,PG,1547983106,91,-6.6,147.85,76.2,1.9
Southbridge,90,US,1547982360,95,42.08,-72.03,33.98,16.11
Quatre Cocos,20,MU,1547982000,66,-20.21,57.76,87.8,16.11
Mount Vernon,75,US,1547981760,85,48.42,-122.33,41.0,4.14
Begoro,44,GH,1547983111,74,6.38,-0.38,85.56,5.93
Gboko,0,NG,1547983113,36,7.32,9.0,97.62,6.38
Vila Franca do Campo,20,PT,1547980200,82,37.72,-25.43,57.2,3.36
Cabo San Lucas,0,MX,1547983115,100,22.89,-109.91,70.8,5.59
Bam,0,IR,1547983117,28,29.11,58.36,47.22,3.69
Zumarraga,75,ES,1547980200,93,43.09,-2.32,50.0,3.36
Tongchuan,0,CN,1547978400,23,34.9,108.95,39.2,6.71
Merauke,88,ID,1547983121,98,-8.49,140.4,79.98,4.92
Tungi,75,TZ,1547978400,63,-6.83,39.32,93.2,18.34
Lixourion,40,GR,1547981400,93,38.2,20.43,60.8,5.82
Gutierrez Zamora,24,MX,1547983125,76,20.45,-97.08,59.69,10.74
Port Hardy,20,CA,1547978400,100,50.7,-127.42,33.8,4.7
Yarega,48,RU,1547983127,79,63.43,53.58,6.27,3.8
Itarema,76,BR,1547983129,100,-2.92,-39.92,77.69,4.59
Belyy Yar,24,RU,1547982000,85,53.6,91.39,10.4,2.35
Yuli,0,NG,1547983131,24,10.52,9.86,91.68,4.81
Maniitsoq,88,GL,1547983132,100,65.42,-52.9,13.2,3.69
Faanui,44,PF,1547983135,100,-16.48,-151.75,83.4,9.62
Kaitangata,64,NZ,1547983136,86,-46.28,169.85,51.99,23.04
Saint-Paul,90,FR,1547980200,80,45.22,1.9,39.2,3.91
Morococha,64,PE,1547983139,99,-11.61,-76.13,31.29,0.56
Toamasina,75,MG,1547982000,83,-18.17,49.38,84.2,4.7
Mayumba,64,GA,1547983142,99,-3.44,10.65,80.52,7.38
Porto Walter,80,BR,1547983143,100,-8.27,-72.74,72.92,2.01
Bambanglipuro,92,ID,1547983144,83,-7.95,110.28,79.53,5.14
Sistranda,75,NO,1547981400,100,63.73,8.83,32.0,14.99
Kieta,88,PG,1547983147,100,-6.22,155.63,78.63,8.39
Karaton,40,ID,1547982000,78,-6.34,106.1,82.4,4.7
Rodos,75,GR,1547981400,72,36.44,28.22,60.8,4.7
Dzhubga,92,RU,1547983151,100,44.32,38.7,41.01,2.24
Bogorodskoye,12,RU,1547983152,38,52.37,140.44,-12.09,3.13
Jumla,32,NP,1547983153,80,29.28,82.18,29.22,0.89
Chiredzi,88,ZW,1547983136,57,-21.05,31.67,80.7,16.67
Isangel,76,VU,1547983156,100,-19.55,169.27,78.32,20.24
Saint Anthony,90,US,1547981760,91,43.97,-111.68,33.08,9.62
Woodstock,75,CA,1547980560,71,43.13,-80.75,6.8,14.99
Gisborne,0,NZ,1547983160,84,-38.66,178.02,61.44,3.58
Minnedosa,75,CA,1547982000,67,50.25,-99.84,-22.01,10.29
Rio Grande,75,BR,1547982000,88,-32.03,-52.1,69.8,5.82
Esmeraldas,0,BR,1547978400,61,-19.76,-44.31,77.0,6.93
Vieques,40,PR,1547981760,76,18.43,-65.83,71.96,17.56
Poznan,44,BY,1547983167,97,51.59,27.47,25.62,7.61
Flin Flon,8,CA,1547983168,45,54.77,-101.88,-28.7,5.93
Ewa Beach,1,US,1547981820,83,21.32,-158.01,73.94,4.7
Colonial Park,90,US,1547982420,92,40.3,-76.81,39.02,3.36
Port Blair,32,IN,1547983172,98,11.67,92.75,83.22,15.1
Torbay,75,CA,1547978400,72,47.66,-52.73,15.8,17.22
Mariental,0,DE,1547979600,86,52.28,10.99,26.6,5.82
Kununurra,0,AU,1547982780,62,-15.77,128.74,86.0,3.36
Aldama,0,MX,1547983177,100,22.92,-98.09,59.19,15.77
Taicheng,88,CN,1547983178,100,22.25,112.8,62.66,10.4
Kaohsiung,20,TW,1547982000,60,22.62,120.31,75.2,4.7
Acurenam,8,GA,1547983181,71,1.03,10.67,83.76,3.69
Nanakuli,1,US,1547981820,83,21.39,-158.15,73.94,4.7
Bon Accord,90,CA,1547978400,92,53.84,-113.41,10.4,5.82
Guangzhou,75,CN,1547982000,67,23.13,113.26,60.8,13.42
Bukachacha,68,RU,1547983186,72,52.99,116.91,10.59,5.93
Arman,36,RU,1547983187,74,59.7,150.17,17.57,8.95
Manaure,20,CO,1547982000,78,11.78,-72.45,77.0,11.41
Pierre,88,US,1547982915,65,44.37,-100.35,2.27,10.07
Kavaratti,12,IN,1547983191,100,10.57,72.64,80.66,4.14
Krasnaya Gora,75,RU,1547982000,68,53.01,31.6,28.4,15.66
Lahan,8,NP,1547983194,51,26.71,86.48,62.39,2.35
Massakory,0,TD,1547983195,24,13.0,15.73,94.07,4.92
Angoche,64,MZ,1547983196,100,-16.23,39.91,80.21,3.02
Ulaangom,44,MN,1547983198,66,49.98,92.07,-8.72,1.68
Xicotencatl,0,MX,1547983199,53,23.02,-98.88,48.57,1.68
North Platte,1,US,1547977980,87,41.12,-100.77,19.04,4.7
Sao Joao da Barra,0,BR,1547978400,74,-21.64,-41.05,78.8,9.17
Hutchinson,1,US,1547981760,91,38.06,-97.93,17.96,8.05
Carballo,75,ES,1547980200,93,43.21,-8.69,50.0,9.17
Avera,75,US,1547982900,71,33.19,-82.53,53.96,14.99
Kenai,1,US,1547981760,86,60.55,-151.26,-5.08,3.36
Yugorsk,88,RU,1547983209,90,61.32,63.33,20.22,3.36
Honningsvag,68,NO,1547983210,100,70.98,25.97,25.04,9.84
Vanimo,56,PG,1547983211,100,-2.67,141.3,79.98,5.7
Kaputa,92,ZM,1547983213,85,-8.47,29.66,71.79,3.58
Bela,80,PK,1547983214,60,26.23,66.31,67.16,4.92
Natal,40,BR,1547982000,79,-5.81,-35.21,84.2,11.41
Belmonte,0,PT,1547983217,83,40.36,-7.35,47.22,10.4
Havre-Saint-Pierre,75,CA,1547978400,60,50.23,-63.6,-25.61,5.82
Beringovskiy,76,RU,1547983220,100,63.05,179.32,5.37,5.93
Naze,75,NG,1547978400,66,5.43,7.07,89.6,4.7
Sur,0,OM,1547983223,100,22.57,59.53,70.89,18.68
Kasempa,24,ZM,1547983224,83,-13.46,25.83,76.74,6.71
Broome,0,GB,1547981760,93,52.47,1.45,35.6,1.12
Maragheh,40,IR,1547982000,59,37.39,46.24,35.6,4.7
Mizque,0,BO,1547983229,95,-17.94,-65.34,52.08,3.36
Zile,20,TR,1547981400,65,40.3,35.89,41.0,3.13
Remanso,0,BR,1547983231,79,-9.62,-42.08,83.31,10.96
Iskateley,80,RU,1547983233,74,67.68,53.15,8.07,2.35
Ilulissat,48,GL,1547981400,70,69.22,-51.1,-5.81,5.82
San Patricio,88,PY,1547983236,95,-26.98,-56.83,70.49,3.47
Broadstairs,0,GB,1547981400,80,51.36,1.44,41.0,3.36
Severodvinsk,75,RU,1547982000,76,64.56,39.82,-7.61,4.47
Inhambane,75,MZ,1547982000,88,-23.87,35.38,77.0,36.91
Mombasa,20,KE,1547978400,59,-4.05,39.67,89.6,13.87
Bonavista,36,CA,1547983242,100,48.65,-53.11,11.27,17.0
Naryan-Mar,88,RU,1547983243,75,67.67,53.09,7.94,2.24
Pauini,20,BR,1547983245,93,-7.71,-67.0,76.29,4.03
Fort Collins,1,US,1547981880,68,40.55,-105.07,42.8,8.05
Kalaikunda,0,IN,1547983248,57,22.35,87.25,71.7,2.68
Caravelas,36,BR,1547983249,100,-17.73,-39.27,81.47,14.65
Aksu,75,KZ,1547982000,92,52.04,76.93,23.0,6.71
Bodden Town,76,KY,1547983252,100,19.28,-81.25,79.17,6.38
Buala,92,SB,1547983253,99,-8.15,159.59,80.79,4.47
Flinders,90,AU,1547982300,100,-34.58,150.85,69.8,4.7
Kulhudhuffushi,0,MV,1547983256,100,6.62,73.07,80.7,5.48
Lerwick,75,GB,1547981400,93,60.15,-1.15,42.8,20.8
Xinzhou,0,CN,1547983258,28,38.41,112.73,15.86,3.13
Shu,88,KZ,1547983260,83,43.6,73.76,34.98,15.21
Yurimaguas,24,PE,1547983261,93,-5.9,-76.1,72.6,1.68
Pacific Grove,75,US,1547982000,83,36.62,-121.92,53.96,2.35
Tahe,20,CN,1547983264,36,52.34,124.71,-12.05,2.46
Baker City,90,US,1547981580,96,44.77,-117.83,33.98,2.91
Honiara,68,SB,1547983081,100,-9.43,159.96,75.48,2.13
Trapani,40,IT,1547981400,71,38.02,12.54,55.4,11.41
Adrar,0,DZ,1547978400,30,27.87,-0.29,57.2,11.41
Ust-Maya,8,RU,1547983270,0,60.42,134.54,-49.04,2.68
Chiniot,76,PK,1547983073,77,31.72,72.98,60.99,6.49
Yenotayevka,12,RU,1547983273,83,47.24,47.04,29.04,8.05
Katsuura,75,JP,1547982000,76,33.93,134.5,50.0,10.29
Lavrentiya,68,RU,1547983275,100,65.58,-170.99,2.4,8.39
Olga,1,US,1547981880,79,34.11,-118.17,59.0,3.91
Zlitan,0,LY,1547983278,68,32.47,14.57,63.56,4.59
Brae,92,GB,1547981400,93,60.4,-1.35,42.8,14.99
